source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_EMT21_So_1,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_2,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_3,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_4,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_5,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_6,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_7,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_8,,,17.2,Hach probe,,,35.18,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_9,,,13.8,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21_So_10,,,13.8,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
